id,square,fold
eb07e3f63ad2,14.7326316475,0
f8b6f4c39204,15.3404832508,1
08a646be6b30,16.722334463,2
79a7691a90b1,16.7451854145,3
28d9a149cb02,17.121350365,4
2335eef27de6,17.1281934307,0
3a7a8f03e713,17.1489262904,1
b44091aa62e4,17.4073742179,2
eeb7eeca738e,17.5302642727,3
3c6acfceb552,17.6401199166,4
2faf504842df,17.6407309046,0
6bff9e10288e,17.8068381778,1
430f0cb5666c,17.8793828206,2
fa006be8b6d9,17.8992195647,3
bf9932f7aca8,18.038402633,4
4b74275babf7,18.0545734489,0
4df1536de792,18.0596650156,1
c9f382c7349e,18.1527795881,2
0495dcf27283,18.1724941345,3
3f8d611822bc,18.1931047967,4
fce0ba5b8ed7,18.2232876043,0
2ea62c1beee7,18.3620633472,1
120c1dc7b116,18.366543926,2
47ea8f25c948,18.4498012252,3
3b45f83ba3fa,18.5138327685,4
bf9a32258ef4,18.6361118352,0
898339fab87a,18.6602254953,1
7abaa38c227f,18.6754187304,2
c53e374fdd72,18.7195727972,3
e05b96cc2b0d,18.7232794578,4
16f0ec26d608,18.8098360923,0
3c16409ab9db,18.8607924922,1
9cc257b449d0,18.8796923879,2
48b3f0c936b5,19.1572438738,3
e8f607100c1f,19.2117847367,4
304437bad7ff,19.2473442388,0
11f3dc041cfb,19.2562239312,1
b98c63cd6102,19.2865289364,2
0d1a9caf4350,19.299237487,3
d3d0d2662918,19.5130425574,4
c87688f6960e,19.5969108446,0
df642435a951,19.6512480448,1
a4551c5409e3,19.6937728102,2
1aba91a601c6,19.7633439781,3
6ba36af67cb0,19.7780891554,4
1258cf954183,19.9001645594,0
9dfaeb835626,19.9912017727,1
5fb012d30fd9,20.0199996741,2
ad5a6a058944,20.0856605188,3
28109f18d9d4,20.1204461027,4
90fdd8932877,20.2285502477,0
293a0fa72e5b,20.236737487,1
768f299c36e1,20.2474501434,2
c24b8293eceb,20.2925003259,3
843763f47895,20.3268378519,4
c52b272a5329,20.3477743743,0
0789bed99cb8,20.3498924661,1
4856fcb85be0,20.3859000261,2
b38c4e132183,20.4846356882,3
6343156803f9,20.5046760949,4
5d95d80e10a9,20.5242277112,0
d0dab700c896,20.5267938608,1
a7b9e343cf6b,20.5445532456,2
2f39abb12388,20.5496448123,3
1e89e1af42e7,20.5540846585,4
dd47eb7ac4ee,20.652616658,0
9c2e82c23803,20.6711906934,1
42415ff65013,20.7021881517,2
be86e79f1225,20.7711890641,3
0cdf5b5d0ce1,20.7946917362,4
87e334269396,20.855790537,0
a070dbb32d2b,20.865403415,1
7ac210ba75a1,20.8697617961,2
3071362591f7,20.8944049791,3
56023a17481b,20.8964008733,4
1adaeb44f109,20.925524635,0
ddb513df9406,20.9298015511,1
e2230d0ceb02,20.9406364051,2
fa613ac8eac5,20.9425101017,3
feaf59172a01,21.0121627346,4
78f63d808555,21.0163174531,0
b63a6f7952d4,21.0323253389,1
8d78483ce302,21.0471519812,2
316bbfd3d93d,21.0886177007,3
7bd1142155ae,21.1020187044,4
6bf969856536,21.121366658,0
2cb91c2543fa,21.1539119526,1
b24fd9084449,21.1959886601,2
e5fc2c1c4a8b,21.2053978754,3
695f39dfac16,21.2057237357,4
6d375bc2ece1,21.2087786757,0
878738468f6b,21.2232387252,1
acb0fd30b83d,21.2300817909,2
245f9c9eab8a,21.2368841241,3
791c1a9775be,21.2446233055,4
4f1f065d78ac,21.3499576382,0
bb7625a3f1d4,21.3504871611,1
8b4b87ad7be6,21.3753747393,2
23c088f6ec27,21.3985108186,3
e114fcbb9723,21.4943952033,4
c4ac16c0dd59,21.5186717935,0
70b6a79565fe,21.5992407456,1
a2df64508b97,21.6405435349,2
40851e617b93,21.6506859359,3
d326cb5c3d12,21.6602173488,4
4e308ad8a254,21.6760215719,0
151c7f2d4183,21.7070597628,1
ebfdf6ec7ede,21.7123549922,2
7fbc761387f3,21.7214790798,3
7251c8797749,21.7622116137,4
bec93f7ddb19,21.80587689,0
cf65b1c5e147,21.8375668014,1
64f701f36437,21.8585440563,2
6cc98271f4dd,21.8653056569,3
a3e2e104d58a,21.8947552789,4
6e016b8b3617,21.9071787018,0
de3ca5ec1e59,21.9277486314,1
36a3f7f77e85,21.9958534281,2
f7ad86e13ed7,22.0635508994,3
bf92e198d9b6,22.0723898592,4
ed8472086df8,22.1156478102,0
f70052627830,22.1251792231,1
04bd942b463b,22.1751173097,2
ef5567efd904,22.1819603754,3
11fcda0a9e1c,22.1917769161,4
3c54e71fd2c9,22.2121839155,0
3789e15178c7,22.2474990224,1
d8216041ffa9,22.2518574035,2
917f262f1608,22.2903496481,3
0795e132d090,22.3570695386,4
6dc8783eca68,22.3625276981,0
6c3470c34408,22.4076593457,1
424658d9f222,22.4168648983,2
8d5423cb763c,22.437516293,3
ba7e7421003b,22.4929532716,4
fc5f1a3a66cf,22.5360482925,0
a078586ccdee,22.6002020334,1
880fec285c06,22.6072894943,2
a7c1ef8d9cc9,22.6678995047,3
3bca821c8c41,22.689895073,4
1952e5f91de0,22.7249250521,0
371f057d1242,22.7388555787,1
f98dbe8a5ee2,22.7541302789,2
0ee135a3cccc,22.7700566997,3
31186febd775,22.799302659,4
69fba9e8f572,22.8217055527,0
3f202616a2b9,22.8240680396,1
5df60cf7cab2,22.8246382951,2
13cad6eeabe8,22.8366543926,3
32edfb7723ff,22.8578353102,4
66fea07e1152,22.8604421924,0
d8f11603ef08,22.8620307612,1
3afec4b5ac07,22.8794235532,2
6a951d3a3131,22.897182938,3
3627b6f4c16d,22.903292818,4
c4f1840b2a65,22.9256142466,0
784ca55262c2,22.9262252346,1
3810c5e1cdeb,22.9423960506,2
4bea0766c14c,22.951275743,3
